"Agent","VISA 30 DAYS SGL","Previous Bal","New Sales","Total Amounts","VISA 30 DAYS MULT","LONG 60 DAYS SGL","LONG 60 DAYS MULT","PROMO CHILD ","CANCEL","EXTEND ","CORRECTION ","48 H TRANSIT","Total Visas","BRONZE MARHABA","SILVER MARHABA","GOLD MARHABA","FAMILY MARHABA","2 PAX SILVER MARHABA","2 PAX GOLD MARHABA ","ELITE MARHABA ","ELITE FAMILY MARHABA","1 day overstay ","2 days overstay ","3 DAYS OVERSTAY","Total Services"
"BETTY","4","1,275.00","340","1,615.00","","","","","","","","","4","","","","","","","","","","","",""
"CAROLE","2","850","170","1,020.00","","","","","","","","","2","","","","","","","","","","","",""
"FAWAL","81","35,817.00","10,023.00","45,840.00","","","2","18","5","7","","","113","","","","","","","","","","","1","1"
"FOLLOW ME TRAVEL AND TOURISM S.A.R.L","3","1,670.00","255","1,925.00","","","","","","","","","3","","","","","","","","","","","",""
"GEORGES SAAD","3","1,585.00","255","1,840.00","","","","","","","","","3","","","","","","","","","","","",""
"GO BLINK TRAVEL","3","50","255","305","","","","","","","","","3","","","","","","","","","","","",""
"JHONNY TRAVEL","31","13,075.00","3,375.00","16,450.00","","","3","2","1","","","","37","","","","","","","","","","","",""
"JOE CHAMOUN","2","85","385","470","","1","","","","","","3","6","","","","","","","","","","","",""
"KARTAL TRAVEL - KESSERWAN -","1","170","85","255","","","","","","","","","1","","","","","","","","","","","",""
"LAND MILES","2","1,190.00","205","1,395.00","","","","1","","","","","3","","","","","","","","","","","",""
"LENA","1","510","85","595","","","","","","","","","1","","","","","","","","","","","",""
"NAKHOUL  ","10","7,490.00","1,060.00","8,550.00","","","1","","","","","","11","","","","","","","","","","","",""
"O Voyages / 3371977 reg ","2","400","170","570","","","","","","","","","2","","","","","","","","","","","",""
"PEGASUS VOYAGE","9","1,380.00","765","2,145.00","","","","","","","","","9","","","","","","","","","","","",""
"SKY CREW","","85","420","505","","","2","","","","","","2","","","","","","","","","","","",""
"SKYPORT ","40","27,440.00","4,025.00","31,465.00","","","","5","2","1","","","48","","","","1","","","","","","","","1"
"THE TRAVEL LOUNGE","10","3,980.00","950","4,930.00","","","","","","","","","10","","","","","1","","","","","","","1"
"THE VIP SERVICES","42","15,790.00","4,515.00","20,305.00","","","1","5","1","2","","","51","","","","","","","","","","","",""
"TONY ETIHAD","1","2,105.00","120","2,225.00","","","","1","","","","","2","","","","","","","","","","","",""
"TRAVEL GATE","1","255","85","340","","","","","","","","","1","","","","","","","","","","","",""
"U GROUP Worldwide SARL.","8","8,740.00","1,930.00","10,670.00","","1","","","","2","","","11","","","","","","","2","","","","","2"
"Voyageur Travel Lounge","1","2,075.00","715","2,790.00","","","3","","","","","","4","","","","","","","","","","","",""
"WORLD DESTINATION TRAVEL","2","825","170","995","","","","","","","","","2","","","","","","","","","","","",""
"Total","259","126,842.00","30,358.00","157,200.00","","2","12","32","9","12","","3","329","","","","1","1","","2","","","","1","5"
