"id","name","account_number","company_name","address","telephone","mobile","email","owner_name","contact_name","iata_no","finance_no","is_active","created_at","updated_at","is_visible","payment_amount"
"15","PEGASUS VOYAGE",,,"gemayzeh pasteur 40","9611572222","9611572222","pegasus@pegasuslb.com",,"nicolas valerik","4322729-5",,"1","2012-09-11 13:30:19","2022-01-14 12:14:39","1","0.00"
"16","JHONNY TRAVEL",,,"beirut","123456","123456","j.salem@evacserv.com",,"jhonny salem","1234564769",,"1","2012-09-12 15:45:03","2018-09-10 10:33:15","1","0.00"
"17","Nancy Travel",,,"Zalka","01885112","01885112","visaprocessing@world-wideservices.com",,"nancy saliba","123456",,"0","2012-09-13 09:48:08","2017-09-26 16:01:48","1","0.00"
"18","AEOLOS TRAVEL-102215-601 -ACHRAFIEH",,,"PASTEUR STREET","9611564666","9611564666","MIREILLE.KELZI@AEOLOSLB.COM",,"RITA","4321064",,"1","2012-10-05 14:35:47","2013-08-22 13:57:21","1","0.00"
"19","AL ASSAAD/99572/Saida",,,"SAIDA","9617730870","9617730870","souzaneyaman@gmail.com",,"V",,,"1","2012-10-05 15:52:06","2017-05-02 13:04:21","1","0.00"
"20","THE TRAVEL CLUB/1262539-601/Ashrafiyeh",,,"74 Nassra Steet, maasarani building, ashrafieh","9611209409","9611209409","TICKETING1@THE-TRAVELCLUB.COM",,"Gladys Nemnom","43210904",,"1","2012-10-06 10:56:44","2013-08-22 16:08:38","1","0.00"
"21","NOUR TRAVEL/48606/Saida",,,"SAID - LEBANON?SITTE NAFISSE? ST. SEOUDI? BLDG ","9617721579","9617721579","nourtrav@hotmail.com",,"AMIN DALIBALTA","43201351",,"1","2012-10-06 11:02:39","2013-08-22 16:08:55","1","0.00"
"22","EL AJOUZ TRAVEL/76080-601/Beirut",,,"HADI NASSRALLAH/fo2 harkous chicken/1st floor","9611551566","9611551566","zahraa@elajouztravel.com",,"MAHMOUD AJOUZ","43228743",,"1","2012-10-06 11:09:41","2017-02-21 11:05:30","1","0.00"
"23","BANK AUDI/3465/Beb Idriss",,,"BABA IDRIS, BEIRUT ","9611977441 ","9611977441 ","mireilletannous2006@gmail.com",,"Arthur Kabian",,,"1","2012-10-06 11:17:58","2016-10-20 15:29:57","1","0.00"
"24","A CITY TRAVEL/ 1749553-601/hamra",,,"Ras Beirut- Kalaa Street- Kalaa Bldg/after go tango","9611810000 / 01799788 (accounting )","9611810000 / 01799788 (accounting )","info@acitytravel.com.lb",,"JOSEPH AZIZ","4321107",,"1","2012-10-06 11:23:32","2017-06-12 12:54:27","1","0.00"
"25","LUNA LINES TRAVEL AND TOURISM",,,"Ras Beirut, Aradati St., Daouk BLDG","9611743212","9611743212","roula@lunalines.com",,"Maya Al Said","4320114",,"1","2012-10-06 11:29:49","2013-05-02 12:44:46","1","0.00"
"26","CENTURY 1023113-601 / Kaslik",,,"kaslik ramaco bldg 7th floor ","9619636633","9619636633","reservation@centurytravellb.com",,"Claude Ghalie","43210182",,"1","2012-10-06 11:35:12","2013-09-05 11:57:36","1","0.00"
"27","RIZK TRAVEL / 122472-601 / Dikweneh",,,"DEKWANE -FACE MECANIQUE","9611682074","9611682074","RIZKGABY@SODETEL.NET.LB",,"ADELE","4320987",,"1","2012-10-06 11:42:05","2017-10-30 08:39:19","1","0.00"
"28","ALINOR TRAVEL & TOURISM-3003226-TRIPOLI.",,,"LEBANON ? TRIPOLI ? JEMMAYZET STR ? TRIPOLI CENTER BLDG ? GROUND FLOOR ? BESIDE ARAMEX","9616443993","9616443993","sabine.alinortravel@hotmail.com",,"Amani Dannawi","43211114",,"1","2012-10-06 11:50:31","2017-11-29 12:52:41","1","0.00"
"29","DAMOUR TOUR/104260-601/Bouchriyeh",,,"BAUCHRIEH ? MEDAWAR STREET ? GHORAYEB BLDG","9611888565  882028 ","9611888565  882028 ","damourtr@dm.net.lb",,"MAY YOUSSEF","43257572",,"1","2012-10-06 11:58:30","2013-08-22 15:10:43","1","0.00"
"30","JBAILY TRAVEL/180850/Kornich el Mazraa",,,"kornish mazraa ","9611706440","9611706440","tickettayara@hotmail.com",,"HIBA","4321024",,"1","2012-10-06 12:03:00","2016-01-21 08:55:40","1","0.00"
"31","ARIANE TRAVEL/8856/New Jdeideh",,,"Ariane Bldg","9611888148 / 01-890488 / 01-897833","9611888148 / 01-890488 / 01-897833","support@arianetravel.com",,"Carla Boustani ",,,"1","2012-10-06 12:07:11","2018-01-17 08:49:17","1","0.00"
"32","NAKHOUL -164837-601 DIKWENEH",,,"Dekwaneh, Slaf Str, facing afteem akl bldg 1st flr","9611688809","9611688809","info@nakhoultravel.com",,"Araxy Kalousian","43214953",,"1","2012-10-06 12:10:29","2017-02-17 11:15:42","1","0.00"
"33","LOUNA TRAVEL - 34564-JOUNIEH.",,,"JOUNIEH EL MINA CENTER LEBANON ","9619637722","9619637722","louna_travel@yahoo.com",,"LOUNA","43210484",,"0","2012-10-06 12:13:37","2016-10-12 10:52:42","1","0.00"
"34","ALJABAL TRAVEL/10162-601/Falougha",,,"KHALWAT- FALOUGHA, MAKAREM BLDG., GROUND FLOOR","9615531333","9615531333","zeina@aljabal-travel.com",,"ZEINA EZZEDDINE","43288092",,"1","2012-10-06 12:17:01","2013-08-22 15:12:19","1","0.00"
"35","AL WAFAA /270003/Ghbeyri",,,"Hamra, Mizan Building 02nd floor","9611739633","9611739633","wafaagrp_samar@live.com",,"Mariam Daher","4321086",,"1","2012-10-06 12:31:06","2015-10-13 13:57:36","1","0.00"
"36","AWAY / 98252 / Zouk",,,"ZOUK MIKAEL","9619223375","9619223375","visaaway@gmail.com",,"BASSIMA AZAR ","43210204",,"1","2012-10-06 12:36:30","2014-03-17 11:37:15","1","0.00"
"37","TRIPOLI TRAVEL & TOURISM CO-12307-TRIPOLI.",,,"Municipality Square, Awkaf Building, Ground Floor, Tripoli LEBANON","9616441505","9616441505","ttt@intracom.net.lb",,"RANDA ZAOUK","43200146",,"1","2012-10-08 11:47:32","2017-12-30 09:26:16","1","0.00"
"38","ALTAIR /1349556/ Ain Elmreissy",,,"AIN ELMREISSY JHON KENEEDY ST. ","9611368332","9611368332","altairtravel.tourism@gmail.com",,"KATIA HAMMOUD","43210915",,"1","2012-10-08 11:54:32","2013-08-22 16:10:59","1","0.00"
"39","VENT NOUVEAU / 8721-601 /Antelias",,,"7MEZHER ST.ANTELIAS-P.O.BOX:60-23?? 3,Beirut,Lebanon","9614712037","9614712037","jihan@ventnouveau.com",,"LILI KHATTAR","43200883",,"1","2012-10-08 11:58:51","2016-10-11 16:07:39","1","0.00"
"40","U GROUP INC / 1595676 / Hazmiyeh",,,"Hazmieh Highway, IBL Bldg, 1st floor","9615454553","9615454553","pascale@utravelme.com",,"amanda","43211092",,"1","2012-10-08 12:01:41","2018-11-05 13:52:37","1","0.00"
"41","SEVEN SKIES / 2223930 / Mar Elias",,,"Marlies- Makassed Centre ? 1st Floor","9611701775","9611701775","sevenskies1@live.com",,"KAREN HOSS",,,"1","2012-10-08 12:07:02","2015-10-18 08:34:57","1","0.00"
"42","SUN HOLIDAY TOURS-6265-601",,,"Debbas Street, Kamal Moujaes Bldg. 1st FLoor","9611202020","9611202020","j.zoummar@sunholidaytours.net",,"MIRA ABOUFAKHR","43210160",,"1","2012-10-08 12:11:53","2016-12-09 14:53:22","1","0.00"
"43","INFO FLY/1182677-601/Horch Tabet",,,"Jisr El Bacha , ( bi wej anastasiadis/ biwej aser )","9611493558","9611493558","nancy.hanna@infofly.co",,"JOCELYNE YAMMINE","43211151",,"1","2012-10-08 12:18:32","2017-07-25 07:29:38","1","0.00"
"44","THE PAN ARABIAN / 4117 / Gemayzeh",,,"SAIFI, AL ARZ STREET, CAT BLDG","9611442201","9611442201","panarab@catgroup.net",,"m","43256710 ",,"1","2012-10-08 15:06:14","2013-08-22 15:20:22","1","0.00"
"45","BITARS / 81439 / Tripoli",,,"TRIPOLI","9616601720","9616601720","visa@bitartravel.com",,"NANCY","43200776",,"1","2012-10-08 15:19:09","2018-08-31 14:05:45","1","0.00"
"46","AL MARMAR / 27504 /Chiyeh ",,,"CHIAH - HADI NASRALLAH BLVD. - HAMDAN BLDG. - GROUND FLOOR","9611555791","9611555791","marmar_travel@hotmail.com",,"ALI MARMAR","43209946",,"1","2012-10-08 15:28:46","2013-08-22 15:21:13","1","0.00"
"47","CONNECTION TRAVEL & TOURISM",,,"Hazmieh - Mar Takla - Saad Bldg - GF","9615954400","9615954400","elie@connectiontravel.org",,"Elie Bou Malhab ","43210042",,"1","2012-10-08 15:31:33","2012-10-08 15:31:33","1","0.00"
